,맥주정보,검색이름,맥주이름,인덱스,편의점
0,"Grisza77(1,606)
🇵🇱Poznań, Poland
2.8January 3, 2021
Jasnozłote, klarowne piwo o całkiem obfitej pianie, która dość szybko redukuje się do zera. Aromat i smak przyjemny, ale praktycznie wyłącznie słodowy. Goryczka niska w stronę…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
2
Overall
11",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
1,"IPALegion55(355)
🇵🇱Szczecin, Poland
2.8January 3, 2021
Złote, przjerzyste, obfita piana.
W zapchu lekko, słodowe w kierunku krakersów, ziołowe, może troche masełka.…
Show more
BOTTLE
Aroma
4
Appearance
4
Flavor
4
Mouthfeel
3
Overall
13",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
2,"esen1a(662)
🇵🇱Legionowo, Poland
3.1December 21, 2020
Piana kremowa, drobno pęcherzykowata opada po chwili. Barwa słomkowa klarowna. W aromacie tradycyjne chmiele. W smaku to samo. Lekko słone na finiszu, gorzkie, wytrawne.
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
3,"TheWhaleNorman(395)
🇷🇺Moscow, Russia
2.7September 29, 2020
Grainy aroma with some buckwheat notes
Malty taste with that typical german bitterness. Not overly sweet, not dry, buttery mouthfeel.…
Show more
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
4,"brunopbraga(101)
🇧🇷Fortaleza, Brazil
2.9September 11, 2020
APARÊNCIA
dourado, translúcido.
creme branco de média formação e…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
5,"FrothyTamer60(430)
🇵🇱Poland
2.4September 6, 2020
Piana bardzo ładna, barwa ok, klarowne. W aromacie nuty warzywne, słodowe i zbożowe w nieprzyjemny sposób. Goryczka niestety niska, wręcz słodkie. Średnio udane piwo.
BOTTLE
Aroma
4
Appearance
4
Flavor
5
Mouthfeel
2
Overall
9",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
6,"kokos666(1,368)
🇵🇱Gliwice, Poland
2.3September 6, 2020
Aromat zbożowy, płatki zbożowe,  słod, trochę szmaciany. Lekkie, slodowe w taki słodk cukrowy i mdly sposob, goryczą niska ale coś tam jest. Coutke lepsze niż nasze rodzime…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
7",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
7,"caketm(3,306)
🇵🇱Czestochowa, Poland
3.1August 30, 2020
Butelka 0,5 litra, zakupiona przez kumpla w Berlinie. Kolor złoty, idealnie klarowny. W smaku lekkie fasolowe klimaty. Goryczka średnia.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
8,"darkseduction(1,013)
🇩🇪Zweibrücken, Germany
3.0August 4, 2020
Flasche 50cl. Überraschend spritziges und im Abgang ausgeglichenes Pils mit deutlich wenig Trinkwiderstand. Gut an warmen Sommertagen.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
9,"Camons(18,620)
🇩🇰Hasselager, Denmark
2.9July 29, 2020
Draught @ schnitzelei mitte, Berlin. Pours very pale yellow with a white head. Aroma malt, light grain, Bread, light hay-ish hops. Flavor is light sweet, very lightly bitter, malt, grain, hay.…
Show more
TAP
Aroma
6
Appearance
2
Flavor
6
Mouthfeel
2
Overall
13",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
10,"qt01(451)
🇷🇴Cluj-Napoca, Romania
3.1July 10, 2020
Grainy, hoppy, malty aroma and a bitter hoppy, fruity taste. Pretty good pils.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
11,"Daboch(1,017)
🇵🇱Gdansk, Poland
2.6July 4, 2020
Ładnie się prezentuje, złociste klarowne z niezłą pianą. Aromat delikatny, słodowy, trochę trawy. W smaku nijakie bez charakteru. Prawie typowy koncernowy lager. Pić zimne w…
Show more
CAN
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
3
Overall
10",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
12,"tonigranota(256)
3.2June 22, 2020
I'd say it is a good choice if you want some local beer from berlin. Nice smell and taste, average price.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
13,"bdleedahl(4,069)
🇩🇪Germany
3.1May 11, 2020
More of a standard american lager. Not much for hops, and even tastes like corn/rice beer. Sommel Dresden
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
14,"narekami(20)
🇦🇲Yerevan, Armenia
3.7March 1, 2020
Classic premium pilsner. Very soft aroma of beer combines bread, some sweet malt and subtle hop tone
@ Houl
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
4
Overall
15",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
15,"thanatosti(3,084)
🇳🇱Culemborg, Netherlands
2.9January 2, 2020
50 cl. bottle shared with Rick @ Rick.
Clear pale golden with a white head. Grainy aroma with faint hops. Hopbitter taste with a light bitter finish. OK German…
Show more
BOTTLE
Aroma
7
Appearance
2
Flavor
6
Mouthfeel
3
Overall
11",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
16,"glowa(189)
🇵🇱Wroclaw, Poland
3.2November 16, 2019
Clear appearance, very pale, light color, very high carbonation. Crisp taste, bitterness noticeable, grassy. Very dry. Minuses: a little sulphury, something like an egg, but somewhere in…
Show more
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
17,"DraftDodger(4,608)
🇩🇰Copenhagen, Denmark
2.6June 9, 2020
Copenhagen 28/9 2019. 50 cl can from Meny, Østerfælled Torv, Kbh. Ø. Very white can with little insignia of a kid (of all persons) peeking up from a Beer mug. Not very politically…
Show more
CAN
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
3
Overall
9",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
18,"CiderChamp44(352)
🇭🇺Kaposvár, Hungary
2.8August 20, 2019
Golden color, with a little head. Aroma and taste is malty and bitter, and even slightly hopped. Drinkable, but strange pilsner.
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
19,"PellicleMeister11(238)
🇮🇹Torino, Italy
2.8August 10, 2019
Bevuta in bottiglia da 50. 
Aroma poco intenso. Schiuma corposa. Gusto neutro, lievemente amaro.…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
2
Overall
11",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
20,"sparta(2,208)
🇪🇪Pärnu, Estonia
2.8August 8, 2019
Õlle on selline jook, et iga uus kord kui klaasi või pudeli suule tõstad, siis leiad midagi uut, sõltuvalt tuhandest-miljonist pisiasjast, mis hetke olukorda mõjutavad. Seega piirdun iga…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Berliner Kindl Pilsener ,Berliner Kindl Jubiläums Pilsener Premium,71,7/11
