,맥주정보,검색이름,맥주이름,인덱스,편의점
0,"denver4351(25)
2.1January 7, 2021
Dark brown. Not much aroma, malty and cocoa. Same as for taste. Malty, cocoa, no hope flavor…
Show more
Aroma
2
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
1,"Jonasslavensky(102)
3.0December 19, 2020
Udseende: Mørk brun farve. Næsten ingen skum.
Aroma: En kraftig aroma af de mørke og ristede malte, sødme og noter af frugt og banen, der kendetegner hvedeøl.…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
2,"MaltoseMuse64(9)
2.5November 22, 2020
50cl bottle late night for sleep, persistent and large head that I cannot easily open the bottle. Flavor is sweet, little to medium, creamy palate.
BOTTLE
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
1
Overall
10",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
3,"glennmastrange(3,323)
🇺🇸hobe sound, United States
3.7November 20, 2020
Bottle. Moderate malt aromas of toasted cereal and milk chocolate, no noticeable hops, light dough for the yeast, with brown sugar and date in the background. Head is large,…
Show more
BOTTLE
@ The Beer Cave
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
4,"DraftSensei110(497)
2.6November 18, 2020
De color beige, con un dedo espumoso de retención media. Aroma tostado y café. En boca es ligeremante dulce con un retrogusto muy corto.
BOTTLE
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
12",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
5,"WillySenpai(143)
🇲🇽Mexico
2.8December 20, 2020
Cerveza con notas a manzana verde, uva, plátano, y tostado a caramelo. Sin embargo, ligera y suave para el estilo.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
6,"labeerinthum(4,892)
🇮🇹Milano, Italy
3.2November 11, 2020
Bottiglia. Il gusto al naso viene attratto dall'orzo tostato. La finezza olfattiva è elevata e il modo in cui permane è sufficiente. Il manto birroso superiore è caratterizzato da un…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
11",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
7,"tgrtnr(1,599)
🇩🇪Germering b München, Germany
2.8October 18, 2020
500 ml bottle. Murky dark, no head. Some nuts, roasted malt, some yeast, citrus. Dry roastyness. Medium bodied, oily texture, lively carbonated, dry finish.
Aroma
6
Appearance
2
Flavor
6
Mouthfeel
3
Overall
11",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
8,"BarrelMonger107(244)
🇬🇷Greece
2.8October 3, 2020
The aroma give you the ordinary notes from one ""Dunkelweizen"" beer. The taste was sweet and the beer was very watery. Barely i get the flavors. Some coffe here some…
Show more
Aroma
6
Appearance
5
Flavor
5
Mouthfeel
2
Overall
10",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
9,"naiveWong(22)
🇨🇳City 17, China
2.4October 10, 2020
Whole box online shop, murky brown color, no special aroma, it is just an old weiss with clean taste.
Aroma
1
Appearance
2
Flavor
8
Mouthfeel
3
Overall
10",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
10,"Scrumpy369(1,447)
🇭🇺Budapest, Hungary
3.5September 19, 2020
Bottle at home. Murky brown colour white disappears relatively fast. Nose is light roastedness, cocoa, faint coffee, faint earth. Taste is low bitterness, low sweetness. Estersy…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
11,"MaltOne(562)
🇺🇸United States
3.3September 13, 2020
From Don G - Nice fall style beer. ""Bottle Fermented"" not sure how that translates to what I'm tasting but it sounds more authentic. Pint+ bottle. Aroma of roasted grain and…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
15",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
12,"tryeverything(56)
3.5September 13, 2020
Are usually don’t appreciate wheat beers; this is an exception. Delicious, taste like dessert￼
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Erdinger Dunkel,Erdinger Weissbier Dunkel,74,7/11
